,Date,Reach,Amount of Reach,Impressions,Amount of Impressions,Day,Day of the Week,Week,Month,Year
0,2020-09-30,Daily Organic Reach,753,Daily Organic impressions,1378,30,Wednesday,40,September,2020
1,2020-09-30,Daily Organic Reach,753,Daily Paid Impressions,0,30,Wednesday,40,September,2020
2,2020-09-30,Daily Paid Reach,0,Daily Organic impressions,1378,30,Wednesday,40,September,2020
3,2020-09-30,Daily Paid Reach,0,Daily Paid Impressions,0,30,Wednesday,40,September,2020
4,2020-10-01,Daily Organic Reach,329,Daily Organic impressions,436,1,Thursday,40,October,2020
5,2020-10-01,Daily Organic Reach,329,Daily Paid Impressions,0,1,Thursday,40,October,2020
6,2020-10-01,Daily Paid Reach,0,Daily Organic impressions,436,1,Thursday,40,October,2020
7,2020-10-01,Daily Paid Reach,0,Daily Paid Impressions,0,1,Thursday,40,October,2020
8,2020-10-02,Daily Organic Reach,596,Daily Organic impressions,971,2,Friday,40,October,2020
9,2020-10-02,Daily Organic Reach,596,Daily Paid Impressions,0,2,Friday,40,October,2020
10,2020-10-02,Daily Paid Reach,0,Daily Organic impressions,971,2,Friday,40,October,2020
11,2020-10-02,Daily Paid Reach,0,Daily Paid Impressions,0,2,Friday,40,October,2020
12,2020-10-03,Daily Organic Reach,513,Daily Organic impressions,848,3,Saturday,40,October,2020
13,2020-10-03,Daily Organic Reach,513,Daily Paid Impressions,0,3,Saturday,40,October,2020
14,2020-10-03,Daily Paid Reach,0,Daily Organic impressions,848,3,Saturday,40,October,2020
15,2020-10-03,Daily Paid Reach,0,Daily Paid Impressions,0,3,Saturday,40,October,2020
16,2020-10-04,Daily Organic Reach,232,Daily Organic impressions,320,4,Sunday,40,October,2020
17,2020-10-04,Daily Organic Reach,232,Daily Paid Impressions,0,4,Sunday,40,October,2020
18,2020-10-04,Daily Paid Reach,0,Daily Organic impressions,320,4,Sunday,40,October,2020
19,2020-10-04,Daily Paid Reach,0,Daily Paid Impressions,0,4,Sunday,40,October,2020
20,2020-10-05,Daily Organic Reach,327,Daily Organic impressions,442,5,Monday,41,October,2020
21,2020-10-05,Daily Organic Reach,327,Daily Paid Impressions,0,5,Monday,41,October,2020
22,2020-10-05,Daily Paid Reach,0,Daily Organic impressions,442,5,Monday,41,October,2020
23,2020-10-05,Daily Paid Reach,0,Daily Paid Impressions,0,5,Monday,41,October,2020
24,2020-10-06,Daily Organic Reach,161,Daily Organic impressions,313,6,Tuesday,41,October,2020
25,2020-10-06,Daily Organic Reach,161,Daily Paid Impressions,0,6,Tuesday,41,October,2020
26,2020-10-06,Daily Paid Reach,0,Daily Organic impressions,313,6,Tuesday,41,October,2020
27,2020-10-06,Daily Paid Reach,0,Daily Paid Impressions,0,6,Tuesday,41,October,2020
28,2020-10-07,Daily Organic Reach,303,Daily Organic impressions,437,7,Wednesday,41,October,2020
29,2020-10-07,Daily Organic Reach,303,Daily Paid Impressions,0,7,Wednesday,41,October,2020
30,2020-10-07,Daily Paid Reach,0,Daily Organic impressions,437,7,Wednesday,41,October,2020
31,2020-10-07,Daily Paid Reach,0,Daily Paid Impressions,0,7,Wednesday,41,October,2020
32,2020-10-08,Daily Organic Reach,1412,Daily Organic impressions,2181,8,Thursday,41,October,2020
33,2020-10-08,Daily Organic Reach,1412,Daily Paid Impressions,0,8,Thursday,41,October,2020
34,2020-10-08,Daily Paid Reach,0,Daily Organic impressions,2181,8,Thursday,41,October,2020
35,2020-10-08,Daily Paid Reach,0,Daily Paid Impressions,0,8,Thursday,41,October,2020
36,2020-10-09,Daily Organic Reach,529,Daily Organic impressions,758,9,Friday,41,October,2020
37,2020-10-09,Daily Organic Reach,529,Daily Paid Impressions,7923,9,Friday,41,October,2020
38,2020-10-09,Daily Paid Reach,7149,Daily Organic impressions,758,9,Friday,41,October,2020
39,2020-10-09,Daily Paid Reach,7149,Daily Paid Impressions,7923,9,Friday,41,October,2020
40,2020-10-10,Daily Organic Reach,308,Daily Organic impressions,428,10,Saturday,41,October,2020
41,2020-10-10,Daily Organic Reach,308,Daily Paid Impressions,12373,10,Saturday,41,October,2020
42,2020-10-10,Daily Paid Reach,11213,Daily Organic impressions,428,10,Saturday,41,October,2020
43,2020-10-10,Daily Paid Reach,11213,Daily Paid Impressions,12373,10,Saturday,41,October,2020
44,2020-10-11,Daily Organic Reach,220,Daily Organic impressions,355,11,Sunday,41,October,2020
45,2020-10-11,Daily Organic Reach,220,Daily Paid Impressions,14878,11,Sunday,41,October,2020
46,2020-10-11,Daily Paid Reach,13993,Daily Organic impressions,355,11,Sunday,41,October,2020
47,2020-10-11,Daily Paid Reach,13993,Daily Paid Impressions,14878,11,Sunday,41,October,2020
48,2020-10-12,Daily Organic Reach,356,Daily Organic impressions,631,12,Monday,42,October,2020
49,2020-10-12,Daily Organic Reach,356,Daily Paid Impressions,7061,12,Monday,42,October,2020
50,2020-10-12,Daily Paid Reach,6134,Daily Organic impressions,631,12,Monday,42,October,2020
51,2020-10-12,Daily Paid Reach,6134,Daily Paid Impressions,7061,12,Monday,42,October,2020
52,2020-10-13,Daily Organic Reach,317,Daily Organic impressions,502,13,Tuesday,42,October,2020
53,2020-10-13,Daily Organic Reach,317,Daily Paid Impressions,11416,13,Tuesday,42,October,2020
54,2020-10-13,Daily Paid Reach,9160,Daily Organic impressions,502,13,Tuesday,42,October,2020
55,2020-10-13,Daily Paid Reach,9160,Daily Paid Impressions,11416,13,Tuesday,42,October,2020
56,2020-10-14,Daily Organic Reach,293,Daily Organic impressions,439,14,Wednesday,42,October,2020
57,2020-10-14,Daily Organic Reach,293,Daily Paid Impressions,18957,14,Wednesday,42,October,2020
58,2020-10-14,Daily Paid Reach,15296,Daily Organic impressions,439,14,Wednesday,42,October,2020
59,2020-10-14,Daily Paid Reach,15296,Daily Paid Impressions,18957,14,Wednesday,42,October,2020
60,2020-10-15,Daily Organic Reach,273,Daily Organic impressions,425,15,Thursday,42,October,2020
61,2020-10-15,Daily Organic Reach,273,Daily Paid Impressions,27750,15,Thursday,42,October,2020
62,2020-10-15,Daily Paid Reach,26624,Daily Organic impressions,425,15,Thursday,42,October,2020
63,2020-10-15,Daily Paid Reach,26624,Daily Paid Impressions,27750,15,Thursday,42,October,2020
64,2020-10-16,Daily Organic Reach,253,Daily Organic impressions,427,16,Friday,42,October,2020
65,2020-10-16,Daily Organic Reach,253,Daily Paid Impressions,2809,16,Friday,42,October,2020
66,2020-10-16,Daily Paid Reach,2792,Daily Organic impressions,427,16,Friday,42,October,2020
67,2020-10-16,Daily Paid Reach,2792,Daily Paid Impressions,2809,16,Friday,42,October,2020
68,2020-10-17,Daily Organic Reach,116,Daily Organic impressions,163,17,Saturday,42,October,2020
69,2020-10-17,Daily Organic Reach,116,Daily Paid Impressions,0,17,Saturday,42,October,2020
70,2020-10-17,Daily Paid Reach,0,Daily Organic impressions,163,17,Saturday,42,October,2020
71,2020-10-17,Daily Paid Reach,0,Daily Paid Impressions,0,17,Saturday,42,October,2020
72,2020-10-18,Daily Organic Reach,195,Daily Organic impressions,404,18,Sunday,42,October,2020
73,2020-10-18,Daily Organic Reach,195,Daily Paid Impressions,0,18,Sunday,42,October,2020
74,2020-10-18,Daily Paid Reach,0,Daily Organic impressions,404,18,Sunday,42,October,2020
75,2020-10-18,Daily Paid Reach,0,Daily Paid Impressions,0,18,Sunday,42,October,2020
76,2020-10-19,Daily Organic Reach,260,Daily Organic impressions,379,19,Monday,43,October,2020
77,2020-10-19,Daily Organic Reach,260,Daily Paid Impressions,0,19,Monday,43,October,2020
78,2020-10-19,Daily Paid Reach,0,Daily Organic impressions,379,19,Monday,43,October,2020
79,2020-10-19,Daily Paid Reach,0,Daily Paid Impressions,0,19,Monday,43,October,2020
80,2020-10-20,Daily Organic Reach,130,Daily Organic impressions,289,20,Tuesday,43,October,2020
81,2020-10-20,Daily Organic Reach,130,Daily Paid Impressions,3148,20,Tuesday,43,October,2020
82,2020-10-20,Daily Paid Reach,2967,Daily Organic impressions,289,20,Tuesday,43,October,2020
83,2020-10-20,Daily Paid Reach,2967,Daily Paid Impressions,3148,20,Tuesday,43,October,2020
84,2020-10-21,Daily Organic Reach,286,Daily Organic impressions,1111,21,Wednesday,43,October,2020
85,2020-10-21,Daily Organic Reach,286,Daily Paid Impressions,6935,21,Wednesday,43,October,2020
86,2020-10-21,Daily Paid Reach,6353,Daily Organic impressions,1111,21,Wednesday,43,October,2020
87,2020-10-21,Daily Paid Reach,6353,Daily Paid Impressions,6935,21,Wednesday,43,October,2020
88,2020-10-22,Daily Organic Reach,287,Daily Organic impressions,556,22,Thursday,43,October,2020
89,2020-10-22,Daily Organic Reach,287,Daily Paid Impressions,5704,22,Thursday,43,October,2020
90,2020-10-22,Daily Paid Reach,4957,Daily Organic impressions,556,22,Thursday,43,October,2020
91,2020-10-22,Daily Paid Reach,4957,Daily Paid Impressions,5704,22,Thursday,43,October,2020
92,2020-10-23,Daily Organic Reach,257,Daily Organic impressions,474,23,Friday,43,October,2020
93,2020-10-23,Daily Organic Reach,257,Daily Paid Impressions,6625,23,Friday,43,October,2020
94,2020-10-23,Daily Paid Reach,5557,Daily Organic impressions,474,23,Friday,43,October,2020
95,2020-10-23,Daily Paid Reach,5557,Daily Paid Impressions,6625,23,Friday,43,October,2020
96,2020-10-24,Daily Organic Reach,132,Daily Organic impressions,437,24,Saturday,43,October,2020
97,2020-10-24,Daily Organic Reach,132,Daily Paid Impressions,7093,24,Saturday,43,October,2020
98,2020-10-24,Daily Paid Reach,5826,Daily Organic impressions,437,24,Saturday,43,October,2020
99,2020-10-24,Daily Paid Reach,5826,Daily Paid Impressions,7093,24,Saturday,43,October,2020
100,2020-10-25,Daily Organic Reach,272,Daily Organic impressions,466,25,Sunday,43,October,2020
101,2020-10-25,Daily Organic Reach,272,Daily Paid Impressions,7498,25,Sunday,43,October,2020
102,2020-10-25,Daily Paid Reach,5756,Daily Organic impressions,466,25,Sunday,43,October,2020
103,2020-10-25,Daily Paid Reach,5756,Daily Paid Impressions,7498,25,Sunday,43,October,2020
104,2020-10-26,Daily Organic Reach,313,Daily Organic impressions,669,26,Monday,44,October,2020
105,2020-10-26,Daily Organic Reach,313,Daily Paid Impressions,6908,26,Monday,44,October,2020
106,2020-10-26,Daily Paid Reach,5467,Daily Organic impressions,669,26,Monday,44,October,2020
107,2020-10-26,Daily Paid Reach,5467,Daily Paid Impressions,6908,26,Monday,44,October,2020
108,2020-10-27,Daily Organic Reach,474,Daily Organic impressions,799,27,Tuesday,44,October,2020
109,2020-10-27,Daily Organic Reach,474,Daily Paid Impressions,6314,27,Tuesday,44,October,2020
110,2020-10-27,Daily Paid Reach,5194,Daily Organic impressions,799,27,Tuesday,44,October,2020
111,2020-10-27,Daily Paid Reach,5194,Daily Paid Impressions,6314,27,Tuesday,44,October,2020
112,2020-10-28,Daily Organic Reach,383,Daily Organic impressions,998,28,Wednesday,44,October,2020
113,2020-10-28,Daily Organic Reach,383,Daily Paid Impressions,0,28,Wednesday,44,October,2020
114,2020-10-28,Daily Paid Reach,0,Daily Organic impressions,998,28,Wednesday,44,October,2020
115,2020-10-28,Daily Paid Reach,0,Daily Paid Impressions,0,28,Wednesday,44,October,2020
116,2020-10-29,Daily Organic Reach,224,Daily Organic impressions,561,29,Thursday,44,October,2020
117,2020-10-29,Daily Organic Reach,224,Daily Paid Impressions,1575,29,Thursday,44,October,2020
118,2020-10-29,Daily Paid Reach,1351,Daily Organic impressions,561,29,Thursday,44,October,2020
119,2020-10-29,Daily Paid Reach,1351,Daily Paid Impressions,1575,29,Thursday,44,October,2020
120,2020-10-30,Daily Organic Reach,1003,Daily Organic impressions,1747,30,Friday,44,October,2020
121,2020-10-30,Daily Organic Reach,1003,Daily Paid Impressions,2260,30,Friday,44,October,2020
122,2020-10-30,Daily Paid Reach,1725,Daily Organic impressions,1747,30,Friday,44,October,2020
123,2020-10-30,Daily Paid Reach,1725,Daily Paid Impressions,2260,30,Friday,44,October,2020
124,2020-10-31,Daily Organic Reach,757,Daily Organic impressions,1265,31,Saturday,44,October,2020
125,2020-10-31,Daily Organic Reach,757,Daily Paid Impressions,3589,31,Saturday,44,October,2020
126,2020-10-31,Daily Paid Reach,2700,Daily Organic impressions,1265,31,Saturday,44,October,2020
127,2020-10-31,Daily Paid Reach,2700,Daily Paid Impressions,3589,31,Saturday,44,October,2020
128,2020-11-01,Daily Organic Reach,645,Daily Organic impressions,1336,1,Sunday,44,November,2020
129,2020-11-01,Daily Organic Reach,645,Daily Paid Impressions,6033,1,Sunday,44,November,2020
130,2020-11-01,Daily Paid Reach,3678,Daily Organic impressions,1336,1,Sunday,44,November,2020
131,2020-11-01,Daily Paid Reach,3678,Daily Paid Impressions,6033,1,Sunday,44,November,2020
132,2020-11-02,Daily Organic Reach,617,Daily Organic impressions,1137,2,Monday,45,November,2020
133,2020-11-02,Daily Organic Reach,617,Daily Paid Impressions,4791,2,Monday,45,November,2020
134,2020-11-02,Daily Paid Reach,3521,Daily Organic impressions,1137,2,Monday,45,November,2020
135,2020-11-02,Daily Paid Reach,3521,Daily Paid Impressions,4791,2,Monday,45,November,2020
136,2020-11-03,Daily Organic Reach,356,Daily Organic impressions,854,3,Tuesday,45,November,2020
137,2020-11-03,Daily Organic Reach,356,Daily Paid Impressions,3074,3,Tuesday,45,November,2020
138,2020-11-03,Daily Paid Reach,2730,Daily Organic impressions,854,3,Tuesday,45,November,2020
139,2020-11-03,Daily Paid Reach,2730,Daily Paid Impressions,3074,3,Tuesday,45,November,2020
140,2020-11-04,Daily Organic Reach,428,Daily Organic impressions,803,4,Wednesday,45,November,2020
141,2020-11-04,Daily Organic Reach,428,Daily Paid Impressions,14011,4,Wednesday,45,November,2020
142,2020-11-04,Daily Paid Reach,11257,Daily Organic impressions,803,4,Wednesday,45,November,2020
143,2020-11-04,Daily Paid Reach,11257,Daily Paid Impressions,14011,4,Wednesday,45,November,2020
144,2020-11-05,Daily Organic Reach,308,Daily Organic impressions,696,5,Thursday,45,November,2020
145,2020-11-05,Daily Organic Reach,308,Daily Paid Impressions,2091,5,Thursday,45,November,2020
146,2020-11-05,Daily Paid Reach,1657,Daily Organic impressions,696,5,Thursday,45,November,2020
147,2020-11-05,Daily Paid Reach,1657,Daily Paid Impressions,2091,5,Thursday,45,November,2020
148,2020-11-06,Daily Organic Reach,355,Daily Organic impressions,742,6,Friday,45,November,2020
149,2020-11-06,Daily Organic Reach,355,Daily Paid Impressions,13941,6,Friday,45,November,2020
150,2020-11-06,Daily Paid Reach,11634,Daily Organic impressions,742,6,Friday,45,November,2020
151,2020-11-06,Daily Paid Reach,11634,Daily Paid Impressions,13941,6,Friday,45,November,2020
152,2020-11-07,Daily Organic Reach,322,Daily Organic impressions,859,7,Saturday,45,November,2020
153,2020-11-07,Daily Organic Reach,322,Daily Paid Impressions,10879,7,Saturday,45,November,2020
154,2020-11-07,Daily Paid Reach,9678,Daily Organic impressions,859,7,Saturday,45,November,2020
155,2020-11-07,Daily Paid Reach,9678,Daily Paid Impressions,10879,7,Saturday,45,November,2020
156,2020-11-08,Daily Organic Reach,435,Daily Organic impressions,1041,8,Sunday,45,November,2020
157,2020-11-08,Daily Organic Reach,435,Daily Paid Impressions,10961,8,Sunday,45,November,2020
158,2020-11-08,Daily Paid Reach,9884,Daily Organic impressions,1041,8,Sunday,45,November,2020
159,2020-11-08,Daily Paid Reach,9884,Daily Paid Impressions,10961,8,Sunday,45,November,2020
160,2020-11-09,Daily Organic Reach,969,Daily Organic impressions,1774,9,Monday,46,November,2020
161,2020-11-09,Daily Organic Reach,969,Daily Paid Impressions,9353,9,Monday,46,November,2020
162,2020-11-09,Daily Paid Reach,8256,Daily Organic impressions,1774,9,Monday,46,November,2020
163,2020-11-09,Daily Paid Reach,8256,Daily Paid Impressions,9353,9,Monday,46,November,2020
164,2020-11-10,Daily Organic Reach,890,Daily Organic impressions,1805,10,Tuesday,46,November,2020
165,2020-11-10,Daily Organic Reach,890,Daily Paid Impressions,9376,10,Tuesday,46,November,2020
166,2020-11-10,Daily Paid Reach,8269,Daily Organic impressions,1805,10,Tuesday,46,November,2020
167,2020-11-10,Daily Paid Reach,8269,Daily Paid Impressions,9376,10,Tuesday,46,November,2020
168,2020-11-11,Daily Organic Reach,798,Daily Organic impressions,2440,11,Wednesday,46,November,2020
169,2020-11-11,Daily Organic Reach,798,Daily Paid Impressions,9538,11,Wednesday,46,November,2020
170,2020-11-11,Daily Paid Reach,8369,Daily Organic impressions,2440,11,Wednesday,46,November,2020
171,2020-11-11,Daily Paid Reach,8369,Daily Paid Impressions,9538,11,Wednesday,46,November,2020
172,2020-11-12,Daily Organic Reach,588,Daily Organic impressions,1401,12,Thursday,46,November,2020
173,2020-11-12,Daily Organic Reach,588,Daily Paid Impressions,9669,12,Thursday,46,November,2020
174,2020-11-12,Daily Paid Reach,8713,Daily Organic impressions,1401,12,Thursday,46,November,2020
175,2020-11-12,Daily Paid Reach,8713,Daily Paid Impressions,9669,12,Thursday,46,November,2020
176,2020-11-13,Daily Organic Reach,660,Daily Organic impressions,1366,13,Friday,46,November,2020
177,2020-11-13,Daily Organic Reach,660,Daily Paid Impressions,9073,13,Friday,46,November,2020
178,2020-11-13,Daily Paid Reach,8329,Daily Organic impressions,1366,13,Friday,46,November,2020
179,2020-11-13,Daily Paid Reach,8329,Daily Paid Impressions,9073,13,Friday,46,November,2020
180,2020-11-14,Daily Organic Reach,444,Daily Organic impressions,1014,14,Saturday,46,November,2020
181,2020-11-14,Daily Organic Reach,444,Daily Paid Impressions,10118,14,Saturday,46,November,2020
182,2020-11-14,Daily Paid Reach,9540,Daily Organic impressions,1014,14,Saturday,46,November,2020
183,2020-11-14,Daily Paid Reach,9540,Daily Paid Impressions,10118,14,Saturday,46,November,2020
184,2020-11-15,Daily Organic Reach,650,Daily Organic impressions,1117,15,Sunday,46,November,2020
185,2020-11-15,Daily Organic Reach,650,Daily Paid Impressions,10273,15,Sunday,46,November,2020
186,2020-11-15,Daily Paid Reach,9408,Daily Organic impressions,1117,15,Sunday,46,November,2020
187,2020-11-15,Daily Paid Reach,9408,Daily Paid Impressions,10273,15,Sunday,46,November,2020
188,2020-11-16,Daily Organic Reach,429,Daily Organic impressions,1169,16,Monday,47,November,2020
189,2020-11-16,Daily Organic Reach,429,Daily Paid Impressions,10508,16,Monday,47,November,2020
190,2020-11-16,Daily Paid Reach,9616,Daily Organic impressions,1169,16,Monday,47,November,2020
191,2020-11-16,Daily Paid Reach,9616,Daily Paid Impressions,10508,16,Monday,47,November,2020
192,2020-11-17,Daily Organic Reach,374,Daily Organic impressions,1014,17,Tuesday,47,November,2020
193,2020-11-17,Daily Organic Reach,374,Daily Paid Impressions,8499,17,Tuesday,47,November,2020
194,2020-11-17,Daily Paid Reach,7551,Daily Organic impressions,1014,17,Tuesday,47,November,2020
195,2020-11-17,Daily Paid Reach,7551,Daily Paid Impressions,8499,17,Tuesday,47,November,2020
196,2020-11-18,Daily Organic Reach,928,Daily Organic impressions,1558,18,Wednesday,47,November,2020
197,2020-11-18,Daily Organic Reach,928,Daily Paid Impressions,9184,18,Wednesday,47,November,2020
198,2020-11-18,Daily Paid Reach,7987,Daily Organic impressions,1558,18,Wednesday,47,November,2020
199,2020-11-18,Daily Paid Reach,7987,Daily Paid Impressions,9184,18,Wednesday,47,November,2020
200,2020-11-19,Daily Organic Reach,878,Daily Organic impressions,1174,19,Thursday,47,November,2020
201,2020-11-19,Daily Organic Reach,878,Daily Paid Impressions,7939,19,Thursday,47,November,2020
202,2020-11-19,Daily Paid Reach,7169,Daily Organic impressions,1174,19,Thursday,47,November,2020
203,2020-11-19,Daily Paid Reach,7169,Daily Paid Impressions,7939,19,Thursday,47,November,2020
204,2020-11-20,Daily Organic Reach,455,Daily Organic impressions,715,20,Friday,47,November,2020
205,2020-11-20,Daily Organic Reach,455,Daily Paid Impressions,7652,20,Friday,47,November,2020
206,2020-11-20,Daily Paid Reach,6878,Daily Organic impressions,715,20,Friday,47,November,2020
207,2020-11-20,Daily Paid Reach,6878,Daily Paid Impressions,7652,20,Friday,47,November,2020
208,2020-11-21,Daily Organic Reach,642,Daily Organic impressions,869,21,Saturday,47,November,2020
209,2020-11-21,Daily Organic Reach,642,Daily Paid Impressions,7625,21,Saturday,47,November,2020
210,2020-11-21,Daily Paid Reach,6838,Daily Organic impressions,869,21,Saturday,47,November,2020
211,2020-11-21,Daily Paid Reach,6838,Daily Paid Impressions,7625,21,Saturday,47,November,2020
212,2020-11-22,Daily Organic Reach,424,Daily Organic impressions,693,22,Sunday,47,November,2020
213,2020-11-22,Daily Organic Reach,424,Daily Paid Impressions,12586,22,Sunday,47,November,2020
214,2020-11-22,Daily Paid Reach,12203,Daily Organic impressions,693,22,Sunday,47,November,2020
215,2020-11-22,Daily Paid Reach,12203,Daily Paid Impressions,12586,22,Sunday,47,November,2020
216,2020-11-23,Daily Organic Reach,567,Daily Organic impressions,790,23,Monday,48,November,2020
217,2020-11-23,Daily Organic Reach,567,Daily Paid Impressions,11303,23,Monday,48,November,2020
218,2020-11-23,Daily Paid Reach,10784,Daily Organic impressions,790,23,Monday,48,November,2020
219,2020-11-23,Daily Paid Reach,10784,Daily Paid Impressions,11303,23,Monday,48,November,2020
220,2020-11-24,Daily Organic Reach,393,Daily Organic impressions,591,24,Tuesday,48,November,2020
221,2020-11-24,Daily Organic Reach,393,Daily Paid Impressions,11759,24,Tuesday,48,November,2020
222,2020-11-24,Daily Paid Reach,11017,Daily Organic impressions,591,24,Tuesday,48,November,2020
223,2020-11-24,Daily Paid Reach,11017,Daily Paid Impressions,11759,24,Tuesday,48,November,2020
224,2020-11-25,Daily Organic Reach,440,Daily Organic impressions,624,25,Wednesday,48,November,2020
225,2020-11-25,Daily Organic Reach,440,Daily Paid Impressions,10913,25,Wednesday,48,November,2020
226,2020-11-25,Daily Paid Reach,10428,Daily Organic impressions,624,25,Wednesday,48,November,2020
227,2020-11-25,Daily Paid Reach,10428,Daily Paid Impressions,10913,25,Wednesday,48,November,2020
228,2020-11-26,Daily Organic Reach,503,Daily Organic impressions,722,26,Thursday,48,November,2020
229,2020-11-26,Daily Organic Reach,503,Daily Paid Impressions,10058,26,Thursday,48,November,2020
230,2020-11-26,Daily Paid Reach,9670,Daily Organic impressions,722,26,Thursday,48,November,2020
231,2020-11-26,Daily Paid Reach,9670,Daily Paid Impressions,10058,26,Thursday,48,November,2020
232,2020-11-27,Daily Organic Reach,336,Daily Organic impressions,530,27,Friday,48,November,2020
