Date,Page Likes,Amount,Lifetime Total Likes
2021-03-28,Daily New Likes,0,1259
2021-03-27,Daily New Likes,0,1259
2021-03-26,Daily New Likes,0,1259
2021-03-25,Daily New Likes,0,1259
2021-03-24,Daily New Likes,0,1259
2021-03-23,Daily New Likes,1,1259
2021-03-22,Daily New Likes,1,1258
2021-03-21,Daily New Likes,1,1257
2021-03-20,Daily New Likes,0,1256
2021-03-19,Daily New Likes,2,1256
2021-03-18,Daily New Likes,0,1253
2021-03-17,Daily New Likes,1,1253
2021-03-16,Daily New Likes,0,1252
2021-03-15,Daily New Likes,2,1252
2021-03-14,Daily New Likes,1,1249
2021-03-13,Daily New Likes,0,1248
2021-03-12,Daily New Likes,0,1248
2021-03-11,Daily New Likes,0,1248
2021-03-10,Daily New Likes,0,1247
2021-03-09,Daily New Likes,0,1247
2021-03-08,Daily New Likes,0,1247
2021-03-07,Daily New Likes,0,1247
2021-03-06,Daily New Likes,0,1247
2021-03-05,Daily New Likes,0,1246
2021-03-04,Daily New Likes,0,1247
2021-03-03,Daily New Likes,1,1247
2021-03-02,Daily New Likes,2,1247
2021-03-01,Daily New Likes,0,1244
2021-02-28,Daily New Likes,0,1245
2021-02-27,Daily New Likes,0,1246
2021-02-26,Daily New Likes,0,1246
2021-02-25,Daily New Likes,0,1247
2021-02-24,Daily New Likes,0,1247
2021-02-23,Daily New Likes,0,1247
2021-02-22,Daily New Likes,0,1247
2021-02-21,Daily New Likes,0,1247
2021-02-20,Daily New Likes,1,1247
2021-02-19,Daily New Likes,0,1246
2021-02-18,Daily New Likes,0,1246
2021-02-17,Daily New Likes,0,1246
2021-02-16,Daily New Likes,0,1246
2021-02-15,Daily New Likes,2,1246
2021-02-14,Daily New Likes,0,1244
2021-02-13,Daily New Likes,0,1245
2021-02-12,Daily New Likes,0,1245
2021-02-11,Daily New Likes,0,1245
2021-02-10,Daily New Likes,0,1245
2021-02-09,Daily New Likes,1,1245
2021-02-08,Daily New Likes,1,1244
2021-02-07,Daily New Likes,1,1243
2021-02-06,Daily New Likes,0,1242
2021-02-05,Daily New Likes,0,1242
2021-02-04,Daily New Likes,0,1242
2021-02-03,Daily New Likes,0,1242
2021-02-02,Daily New Likes,0,1241
2021-02-01,Daily New Likes,0,1241
2021-01-31,Daily New Likes,0,1241
2021-01-30,Daily New Likes,0,1241
2021-01-29,Daily New Likes,0,1242
2021-01-28,Daily New Likes,0,1242
2021-01-27,Daily New Likes,2,1242
2021-01-26,Daily New Likes,1,1241
2021-01-25,Daily New Likes,1,1240
2021-01-24,Daily New Likes,0,1239
2021-01-23,Daily New Likes,3,1239
2021-01-22,Daily New Likes,0,1236
2021-01-21,Daily New Likes,1,1236
2021-01-20,Daily New Likes,1,1234
2021-01-19,Daily New Likes,1,1233
2021-01-18,Daily New Likes,0,1232
2021-01-17,Daily New Likes,0,1231
2021-01-16,Daily New Likes,0,1231
2021-01-15,Daily New Likes,0,1231
2021-01-14,Daily New Likes,2,1231
2021-01-13,Daily New Likes,2,1228
2021-01-12,Daily New Likes,1,1224
2021-01-11,Daily New Likes,0,1224
2021-01-10,Daily New Likes,0,1224
2021-01-09,Daily New Likes,0,1224
2021-01-08,Daily New Likes,0,1224
2021-01-07,Daily New Likes,0,1225
2021-01-06,Daily New Likes,0,1226
2021-01-05,Daily New Likes,0,1227
2021-01-04,Daily New Likes,1,1227
2021-01-03,Daily New Likes,0,1225
2021-01-02,Daily New Likes,1,1225
2021-01-01,Daily New Likes,0,1224
2020-12-31,Daily New Likes,0,1224
2020-12-30,Daily New Likes,0,1224
2020-12-29,Daily New Likes,1,1224
2020-12-28,Daily New Likes,0,1223
2020-12-27,Daily New Likes,0,1223
2020-12-26,Daily New Likes,0,1223
2020-12-25,Daily New Likes,0,1223
2020-12-24,Daily New Likes,0,1222
2020-12-23,Daily New Likes,0,1222
2020-12-22,Daily New Likes,0,1223
2020-12-21,Daily New Likes,0,1223
2020-12-20,Daily New Likes,0,1223
2020-12-19,Daily New Likes,0,1223
2020-12-18,Daily New Likes,1,1223
2020-12-17,Daily New Likes,1,1222
2020-12-16,Daily New Likes,3,1221
2020-12-15,Daily New Likes,2,1215
2020-12-14,Daily New Likes,11,1213
2020-12-13,Daily New Likes,1,1202
2020-12-12,Daily New Likes,0,1201
2020-12-11,Daily New Likes,0,1201
2020-12-10,Daily New Likes,0,1201
2020-12-09,Daily New Likes,5,1201
2020-12-08,Daily New Likes,3,1196
2020-12-07,Daily New Likes,0,1193
2020-12-06,Daily New Likes,4,1193
2020-12-05,Daily New Likes,1,1190
2020-12-04,Daily New Likes,0,1190
2020-12-03,Daily New Likes,2,1190
2020-12-02,Daily New Likes,3,1188
2020-12-01,Daily New Likes,2,1185
2020-11-30,Daily New Likes,1,1183
2020-11-29,Daily New Likes,5,1182
2020-11-28,Daily New Likes,1,1177
2020-11-27,Daily New Likes,3,1176
2020-11-26,Daily New Likes,2,1173
2020-11-25,Daily New Likes,3,1171
2020-11-24,Daily New Likes,1,1168
2020-11-23,Daily New Likes,3,1167
2020-11-22,Daily New Likes,0,1164
2020-11-21,Daily New Likes,4,1165
2020-11-20,Daily New Likes,2,1161
2020-11-19,Daily New Likes,5,1160
2020-11-18,Daily New Likes,1,1155
2020-11-17,Daily New Likes,5,1154
2020-11-16,Daily New Likes,5,1149
2020-11-15,Daily New Likes,9,1144
2020-11-14,Daily New Likes,5,1135
2020-11-13,Daily New Likes,7,1130
2020-11-12,Daily New Likes,14,1123
2020-11-11,Daily New Likes,35,1109
2020-11-10,Daily New Likes,15,1074
2020-11-09,Daily New Likes,8,1060
2020-11-08,Daily New Likes,4,1052
2020-11-07,Daily New Likes,4,1048
2020-11-06,Daily New Likes,3,1044
2020-11-05,Daily New Likes,3,1041
2020-11-04,Daily New Likes,5,1038
2020-11-03,Daily New Likes,3,1033
2020-11-02,Daily New Likes,2,1031
2020-11-01,Daily New Likes,9,1029
2020-10-31,Daily New Likes,1,1020
2020-10-30,Daily New Likes,4,1019
2020-10-29,Daily New Likes,3,1015
2020-10-28,Daily New Likes,4,1012
2020-10-27,Daily New Likes,0,1009
2020-10-26,Daily New Likes,1,1009
2020-10-25,Daily New Likes,1,1008
2020-10-24,Daily New Likes,3,1007
2020-10-23,Daily New Likes,2,1005
2020-10-22,Daily New Likes,1,1003
2020-10-21,Daily New Likes,0,1002
2020-10-20,Daily New Likes,0,1002
2020-10-19,Daily New Likes,0,1002
2020-10-18,Daily New Likes,2,1002
2020-10-17,Daily New Likes,1,1000
2020-10-16,Daily New Likes,1,1000
2020-10-15,Daily New Likes,0,999
2020-10-14,Daily New Likes,2,999
2020-10-13,Daily New Likes,0,997
2020-10-12,Daily New Likes,2,999
2020-10-11,Daily New Likes,1,997
2020-10-10,Daily New Likes,1,996
2020-10-09,Daily New Likes,1,995
2020-10-08,Daily New Likes,2,994
2020-10-07,Daily New Likes,0,992
2020-10-06,Daily New Likes,3,993
2020-10-05,Daily New Likes,1,990
2020-10-04,Daily New Likes,0,989
2020-10-03,Daily New Likes,1,989
2020-10-02,Daily New Likes,3,992
2020-10-01,Daily New Likes,1,993
2020-09-30,Daily New Likes,2,992
2021-03-28,Daily Unlikes,0,1259
2021-03-27,Daily Unlikes,0,1259
2021-03-26,Daily Unlikes,0,1259
2021-03-25,Daily Unlikes,0,1259
2021-03-24,Daily Unlikes,0,1259
2021-03-23,Daily Unlikes,0,1259
2021-03-22,Daily Unlikes,0,1258
2021-03-21,Daily Unlikes,0,1257
2021-03-20,Daily Unlikes,0,1256
2021-03-19,Daily Unlikes,0,1256
2021-03-18,Daily Unlikes,0,1253
2021-03-17,Daily Unlikes,0,1253
2021-03-16,Daily Unlikes,0,1252
2021-03-15,Daily Unlikes,0,1252
2021-03-14,Daily Unlikes,0,1249
2021-03-13,Daily Unlikes,0,1248
2021-03-12,Daily Unlikes,0,1248
2021-03-11,Daily Unlikes,0,1248
2021-03-10,Daily Unlikes,0,1247
2021-03-09,Daily Unlikes,0,1247
2021-03-08,Daily Unlikes,0,1247
2021-03-07,Daily Unlikes,0,1247
2021-03-06,Daily Unlikes,0,1247
2021-03-05,Daily Unlikes,-1,1246
2021-03-04,Daily Unlikes,0,1247
2021-03-03,Daily Unlikes,-1,1247
2021-03-02,Daily Unlikes,0,1247
2021-03-01,Daily Unlikes,-1,1244
2021-02-28,Daily Unlikes,-1,1245
2021-02-27,Daily Unlikes,0,1246
2021-02-26,Daily Unlikes,-1,1246
2021-02-25,Daily Unlikes,0,1247
2021-02-24,Daily Unlikes,0,1247
2021-02-23,Daily Unlikes,0,1247
2021-02-22,Daily Unlikes,0,1247
2021-02-21,Daily Unlikes,0,1247
2021-02-20,Daily Unlikes,0,1247
2021-02-19,Daily Unlikes,0,1246
2021-02-18,Daily Unlikes,0,1246
2021-02-17,Daily Unlikes,0,1246
2021-02-16,Daily Unlikes,0,1246
2021-02-15,Daily Unlikes,-1,1246
2021-02-14,Daily Unlikes,-1,1244
2021-02-13,Daily Unlikes,0,1245
2021-02-12,Daily Unlikes,-1,1245
2021-02-11,Daily Unlikes,0,1245
2021-02-10,Daily Unlikes,0,1245
2021-02-09,Daily Unlikes,0,1245
2021-02-08,Daily Unlikes,0,1244
2021-02-07,Daily Unlikes,0,1243
2021-02-06,Daily Unlikes,0,1242
2021-02-05,Daily Unlikes,0,1242
2021-02-04,Daily Unlikes,0,1242
2021-02-03,Daily Unlikes,0,1242
2021-02-02,Daily Unlikes,0,1241
2021-02-01,Daily Unlikes,0,1241
2021-01-31,Daily Unlikes,0,1241
2021-01-30,Daily Unlikes,-1,1241
2021-01-29,Daily Unlikes,0,1242
2021-01-28,Daily Unlikes,0,1242
2021-01-27,Daily Unlikes,-2,1242
2021-01-26,Daily Unlikes,0,1241
2021-01-25,Daily Unlikes,0,1240
2021-01-24,Daily Unlikes,0,1239
2021-01-23,Daily Unlikes,0,1239
2021-01-22,Daily Unlikes,0,1236
2021-01-21,Daily Unlikes,0,1236
2021-01-20,Daily Unlikes,0,1234
2021-01-19,Daily Unlikes,0,1233
2021-01-18,Daily Unlikes,0,1232
2021-01-17,Daily Unlikes,0,1231
2021-01-16,Daily Unlikes,0,1231
2021-01-15,Daily Unlikes,0,1231
2021-01-14,Daily Unlikes,0,1231
2021-01-13,Daily Unlikes,-1,1228
2021-01-12,Daily Unlikes,0,1224
2021-01-11,Daily Unlikes,0,1224
2021-01-10,Daily Unlikes,0,1224
2021-01-09,Daily Unlikes,0,1224
2021-01-08,Daily Unlikes,-1,1224
2021-01-07,Daily Unlikes,-1,1225
2021-01-06,Daily Unlikes,-1,1226
2021-01-05,Daily Unlikes,0,1227
2021-01-04,Daily Unlikes,0,1227
2021-01-03,Daily Unlikes,0,1225
2021-01-02,Daily Unlikes,0,1225
2021-01-01,Daily Unlikes,0,1224
2020-12-31,Daily Unlikes,0,1224
2020-12-30,Daily Unlikes,0,1224
2020-12-29,Daily Unlikes,0,1224
2020-12-28,Daily Unlikes,0,1223
2020-12-27,Daily Unlikes,0,1223
2020-12-26,Daily Unlikes,0,1223
2020-12-25,Daily Unlikes,0,1223
2020-12-24,Daily Unlikes,0,1222
2020-12-23,Daily Unlikes,-1,1222
2020-12-22,Daily Unlikes,0,1223
2020-12-21,Daily Unlikes,0,1223
2020-12-20,Daily Unlikes,0,1223
2020-12-19,Daily Unlikes,0,1223
2020-12-18,Daily Unlikes,0,1223
2020-12-17,Daily Unlikes,0,1222
2020-12-16,Daily Unlikes,0,1221
2020-12-15,Daily Unlikes,0,1215
2020-12-14,Daily Unlikes,0,1213
2020-12-13,Daily Unlikes,0,1202
2020-12-12,Daily Unlikes,0,1201
2020-12-11,Daily Unlikes,0,1201
2020-12-10,Daily Unlikes,0,1201
2020-12-09,Daily Unlikes,0,1201
2020-12-08,Daily Unlikes,0,1196
2020-12-07,Daily Unlikes,0,1193
2020-12-06,Daily Unlikes,-1,1193
2020-12-05,Daily Unlikes,0,1190
2020-12-04,Daily Unlikes,0,1190
2020-12-03,Daily Unlikes,0,1190
2020-12-02,Daily Unlikes,0,1188
2020-12-01,Daily Unlikes,0,1185
2020-11-30,Daily Unlikes,0,1183
2020-11-29,Daily Unlikes,0,1182
2020-11-28,Daily Unlikes,0,1177
2020-11-27,Daily Unlikes,0,1176
2020-11-26,Daily Unlikes,0,1173
2020-11-25,Daily Unlikes,0,1171
2020-11-24,Daily Unlikes,0,1168
2020-11-23,Daily Unlikes,0,1167
2020-11-22,Daily Unlikes,-1,1164
2020-11-21,Daily Unlikes,0,1165
2020-11-20,Daily Unlikes,-1,1161
2020-11-19,Daily Unlikes,0,1160
2020-11-18,Daily Unlikes,0,1155
2020-11-17,Daily Unlikes,0,1154
2020-11-16,Daily Unlikes,0,1149
2020-11-15,Daily Unlikes,0,1144
2020-11-14,Daily Unlikes,0,1135
2020-11-13,Daily Unlikes,0,1130
2020-11-12,Daily Unlikes,0,1123
2020-11-11,Daily Unlikes,-3,1109
2020-11-10,Daily Unlikes,-1,1074
2020-11-09,Daily Unlikes,0,1060
2020-11-08,Daily Unlikes,0,1052
2020-11-07,Daily Unlikes,0,1048
2020-11-06,Daily Unlikes,0,1044
2020-11-05,Daily Unlikes,0,1041
2020-11-04,Daily Unlikes,0,1038
2020-11-03,Daily Unlikes,-1,1033
2020-11-02,Daily Unlikes,0,1031
2020-11-01,Daily Unlikes,0,1029
2020-10-31,Daily Unlikes,0,1020
2020-10-30,Daily Unlikes,0,1019
2020-10-29,Daily Unlikes,0,1015
2020-10-28,Daily Unlikes,-1,1012
2020-10-27,Daily Unlikes,0,1009
2020-10-26,Daily Unlikes,0,1009
2020-10-25,Daily Unlikes,0,1008
2020-10-24,Daily Unlikes,-1,1007
2020-10-23,Daily Unlikes,0,1005
2020-10-22,Daily Unlikes,0,1003
2020-10-21,Daily Unlikes,0,1002
2020-10-20,Daily Unlikes,0,1002
2020-10-19,Daily Unlikes,0,1002
2020-10-18,Daily Unlikes,0,1002
2020-10-17,Daily Unlikes,-1,1000
2020-10-16,Daily Unlikes,0,1000
2020-10-15,Daily Unlikes,0,999
2020-10-14,Daily Unlikes,0,999
2020-10-13,Daily Unlikes,-2,997
2020-10-12,Daily Unlikes,0,999
2020-10-11,Daily Unlikes,0,997
2020-10-10,Daily Unlikes,0,996
2020-10-09,Daily Unlikes,0,995
2020-10-08,Daily Unlikes,0,994
2020-10-07,Daily Unlikes,-1,992
2020-10-06,Daily Unlikes,0,993
2020-10-05,Daily Unlikes,0,990
2020-10-04,Daily Unlikes,0,989
2020-10-03,Daily Unlikes,-4,989
2020-10-02,Daily Unlikes,-4,992
2020-10-01,Daily Unlikes,0,993
2020-09-30,Daily Unlikes,-1,992
