"Identifiant de la publication","Lien permanent","Message de publication",Type,Pays,Langues,Publié,"Ciblage d’audience","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
447103548968697_1360663904279319,https://www.facebook.com/refyld/posts/1360663904279319,"🚀 ON RECRUTE🚀 

Nous avons 3 postes ouverts pour le début d'année 2021 en #stages et #alternance : 
👉Développeur.se Lead Full Stack (alternance) pour nous aider dans notre développement
👉Bras droit fondateur (stage) pour accompagner Baptiste sur la production et les opérations
👉 Assistant.e Social Media &amp; Brand Content (stage) pour rejoindre la team de Debora 

Si vous êtes la perle rare ou si vous la connaissez, toutes nos offres sont sur How I Met Your Planet.

N'hésitez pas à partager ou identifier vos relations ! 🙌",Link,,,"12/02/2020 05:57:24 AM"," ",429,429,0,448,448,0,14,8,11,0,0,360,336,0,0,11,0,0,0,0,0,0,0,0,0,0,7,,,7,2,,,7,1,,,10,1,,,,,
447103548968697_1359978191014557,https://www.facebook.com/refyld/posts/1359978191014557,"Notre définition du « supermarché parfait » ?⁠
👉 Il ne contient que des produits bon pour la santé. ⁠
👉 Il ne continent que des produits bon pour la planète. ⁠
👉 Et tous ces produits ne coûtent pas un bras ! ⁠
⁠
Et bien avec Refyld c'est possible.⁠
⁠
Il ne vous reste plus qu'à adhérer des maintenant sur #Ulule pour prendre votre adhésion à vie. J-7 : https://fr.ulule.com/refyld/💫",Video,,,"12/01/2020 10:04:21 AM"," ",546,546,0,614,614,0,48,36,53,0,0,416,368,0,0,39,57,58,0,0,201,210,0,0,6227,16426,18,3,2,19,3,2,,29,3,8,,42,3,8,,,,
447103548968697_1358800047799038,https://www.facebook.com/refyld/posts/1358800047799038,"💫 J-9 avant la fin de notre campagne Ulule💫

Adhérez dès aujourd'hui sur Ulule pour avoir accès à notre site et à tous nos produits à prix coûtant dès début 2021. ⁠
⁠
Notre adhésion à VIE est disponible sur Ulule pendant encore 9 petits jours. Alors n'hésitez pas à nous soutenir sur Ulule car...⁠

💪 Vous soutenez un projet entrepreneurial à ses débuts⁠
🙌 Vous bénéficiez d'une offre exceptionnelle : une adhésion à VIE (uniquement dispo sur Ulule, après cette campagne seul d'abonnement annuel sera dispo) ⁠
🤝 Vous nous aidez à financer les premières production⁠
✌️Et vous pourrez dire à vos petits-enfants : &quot;j'ai contribué à faire changer les choses&quot; (On peut rêver, non ?🙊)⁠
⁠
✨ Alors pour prendre votre adhésion à vie, il suffit de cliquer sur le lien juste ici https://lnkd.in/dT6Wv9K ! ✨ ⁠
⁠
#refyld #moinsmaismieux #homesweethome #refyldisthenewrecycle
photo Victoire Duhot",Photo,,,"11/30/2020 12:39:01 AM"," ",587,587,0,672,672,0,26,16,17,0,0,363,331,0,0,20,0,0,0,0,0,0,0,0,0,0,11,3,,11,3,,,6,11,,,6,11,,,,,
447103548968697_1358000694545640,https://www.facebook.com/refyld/posts/1358000694545640,"Le nouvel épisode de notre série &quot;Les Nouveaux Récits&quot; est en ligne ! 

On retrouve Monique, la co-fondatrice de la marque Cosmic Dealer, une marque dédiée aux produits de bien-être inspirés de l'Ayurveda. 🧘‍♀️

Dans cette vidéo, Monique vous partage ses précieux conseils pour lutter contre les virus de l’hiver. Des conseils inspirants, qui proposent une nouvelle approche du bien-être, le tout avec beaucoup fraîcheur. Au programme ? Comment nettoyer les portes d’entrées du corps, le lien entre le soleil et la digestion, comment prendre soin de son système nerveux… etc. 🌈

@moniquefoy @cosmicdealer",Video,,,"11/29/2020 01:01:02 AM"," ",414,414,0,484,484,0,13,10,11,0,0,364,322,0,0,10,0,0,0,0,128,136,0,0,10169,1745930,3,,2,3,,2,,6,,4,,7,,4,,,,
447103548968697_1356348791377497,https://www.facebook.com/refyld/posts/1356348791377497,"Vous êtes à la recherche de nouveaux produits pour prendre soin de vous ? 😊 ⁠ Vous êtes au bon endroit 👉https://fr.ulule.com/refyld/
⁠
Chez Refyld, nous avons voulu vous proposer des produits pour prendre soin de vous, de la planète &amp; de votre porte-monnaie... Mais surtout des produits qui s'intègrent sans aucun effort dans vos intérieurs 🏡",Photo,,,"11/27/2020 12:54:48 AM"," ",513,513,0,583,583,0,19,11,13,0,0,358,330,0,0,14,0,0,0,0,0,0,0,0,0,0,7,1,,7,1,,2,4,7,,2,4,7,,,,,
447103548968697_1355861471426229,https://www.facebook.com/refyld/posts/1355861471426229,"🎥  INTERVIEW 🎥

On a répondu aux questions du chouette média Dim Dam Dom Magazine, au sujet de Refyld, son but, nos engagements et nos quelques conseils pour adopter un quotidien plus responsable et #zérodéchet.
Pour voir l'interview, RDV ici 👉  https://bit.ly/3fH368v",Photo,,,"11/26/2020 08:53:09 AM"," ",727,727,0,797,797,0,70,40,49,0,0,517,464,0,0,58,0,0,0,0,0,0,0,0,0,0,33,3,2,36,3,2,3,24,16,,3,29,17,,,,,
447103548968697_1354799954865714,https://www.facebook.com/refyld/posts/1354799954865714,"🚀 REFYLD RECRUUUTE ! 🚀  ⁠
⁠
2021 approche à grands pas et nous sommes à la recherche de deux personnes pour nous accompagner sur les 6 prochains mois 🥳⁠
⁠
Deux posts à pourvoir début janvier 2021 en #stage à Paris, télétravail possible à condition de pouvoir se déplacer à Paris 2 fois par semaine (minimum) : ⁠
⁠
👉 Bras droit fondateur pour accompagner Baptiste sur l'e-commerce, la production et les opérations⁠
👉 Assistant.e Social Media &amp; Brand Content pour rejoindre la team de Debora
⁠
Deux posts clés pour amorcer 2021 avec le sourire (et avec beaucoup de boulot) 💪 ⁠
⁠
Alors si vous êtes prêt.e à faire bouger les lignes, si vous êtes la perle rare (ou si vous la connaissez), toutes nos offres sont sur le site de How I Met Your Planet, la nouvelle plateforme pour trouver un job avec du sens et avec un vrai impact. 👇👇👇",Link,,,"11/25/2020 03:13:54 AM"," ",522,522,0,572,572,0,34,23,28,0,0,438,397,0,0,27,0,0,0,0,0,0,0,0,0,0,15,,,17,6,,,13,12,,,16,12,,,,,
447103548968697_1354039291608447,https://www.facebook.com/refyld/posts/1354039291608447,"Les Nouveaux Récits, épisode 7 : Comment retrouver la motivation pendant le confinement ? 

Léa a fondé Le Yogascope, des séjours de yoga et workshops mieux-être basés sur le partage et l'échange. C’est donc en toute logique que nous avons voulu demandé à Léa ses conseils pour retrouver l’équilibre et la motivation en cette période de confinement grâce à la mise en place d’une routine. ☀️⁠ Un peu de self love, aucune pression, du feel good… Bref, que du bonheur pour une routine qui dure dans le temps. Prêts.es pour vous remettre en forme grâce aux conseils de Léa ? 🌿",Video,,,"11/24/2020 04:37:02 AM"," ",495,495,0,586,586,0,26,25,33,0,0,399,353,0,0,22,0,0,0,0,157,160,0,0,9825,486762,5,1,,5,1,,,21,,7,,26,,7,,,,
447103548968697_1353094371702939,https://www.facebook.com/refyld/posts/1353094371702939,"Vous aussi vous passez plus de temps dans la cuisine ces jours-ci ? 🍴 Alors ce liquide vaisselle devrait vous plaire.🧼 Il sera livré dans un contenant en verre 100% rechargeable. 🤩⁠
⁠
Et pour nous aider à faire de ce projet une réalité, rendez-vous par ici 👉  fr.ulule.com/refyld/ 💛",Photo,,,"11/23/2020 01:12:40 AM"," ",592,592,0,639,639,0,35,30,49,0,0,510,474,0,0,27,0,0,0,0,0,0,0,0,0,0,4,,3,4,,4,,27,3,,,46,3,,,,,
447103548968697_1352359535109756,https://www.facebook.com/refyld/posts/1352359535109756,"L'épisode n°6 de notre série Les Nouveaux Récits est en ligne. 

Au programme ? Apprenez à faire votre pain à la maison comme un.e pro 🥖

La farine est devenu l’élément le plus précieux du premier confinement et elle est en passe de le devenir pour ce second épisode. Le pain, quant à lui est devenu la star de nos confinements. Et pour Sarah, la fondatrice du compte Instagram @frenchbontemps, auteure de Babkas &amp; brioches » aux éditions Marabout, il n'y a pas plus bel acte de rébellion et d'indépendance que de savoir faire son pain. C’est aussi une forme d’autonomie alimentaire que de pouvoir s’émanciper de tous les pains aux additifs qu'on nous fait manger. Sarah a donc décidé de vous partager une recette simple et accessible pour apprendre à faire son pain à la maison comme un.e pro. Alors, à vos tabliers !

🥐 Merci Sarah Crosetti 🥐",Video,,,"11/22/2020 01:49:31 AM"," ",431,431,0,502,502,0,26,23,28,0,0,337,294,0,0,22,1,2,0,0,162,179,0,0,27676,1606848,3,2,1,3,2,2,,21,,3,,25,,3,,,,
447103548968697_1351582745187435,https://www.facebook.com/refyld/posts/1351582745187435,"Travailler en France, avec des personnes qui partagent nos valeurs, nous permet d'avancer et de grandir tous ensemble. 🇫🇷 

Les crises actuelles (climatique et sanitaire) appellent à la solidarité. C'est pourquoi en travaillant localement, nous savons aussi exactement quels écosystèmes nous soutenons. 

Et ça, ça n'a pas de prix. 🙌⁠💛",Photo,,,"11/21/2020 03:36:11 AM"," ",759,759,0,819,819,0,30,11,11,0,0,464,434,0,0,19,0,0,0,0,0,0,0,0,0,0,18,3,,18,3,,,11,,,,11,,,,,,
447103548968697_1350874251924951,https://www.facebook.com/refyld/posts/1350874251924951,"Avec son parfum délicat frais et ses ingrédients naturels, notre savon liquide pour les mains est un essentiel pour votre quotidien.😊⁠
⁠
Pour pouvoir accéder à notre site et à tous nos produits à prix coûtant à VIE, rendez-vous ici 👉  fr.ulule.com/refyld⁠/ 💛",Video,,,"11/20/2020 06:41:09 AM"," ",459,459,0,536,536,0,34,29,44,0,0,390,340,0,0,24,77,83,0,0,144,161,0,0,4969,6400,6,,2,6,,2,,16,12,8,,22,14,8,,,,
447103548968697_1349833225362387,https://www.facebook.com/refyld/posts/1349833225362387,"&quot;Notre recharge, notre bataille&quot; — On vous explique le pourquoi du comment de notre recharge (temps de lecture moins de 2 minutes)👇

Oui, notre recharge, c'est notre grande bataille. Dès que nous avons imaginé Refyld, nous avons souhaité que tous nos produits soient 100% rechargeables, dans le but de vous faciliter la vie. C’est la recharge qui viendra à vous et non l’inverse. ✨

Mais après avoir passé au peigne fin toutes les possibilités de recharges disponibles sur le marché... On a découvert, à notre plus grand regret 😱 que toutes les options possibles sont fabriquées à partir de plastique... Et même si la recharge est fabriquée à partir en PET aka Polyéthylène Téréphtalate, aka plastique recyclé), ça ne change rien pour nous. 🤚

Car il faut savoir que le plastique ne peut pas se recycler à l'infini comme on peut nous le faire croire. À vrai dire, il peut se recycler une fois ou au mieux deux. Donc le plastique déjà recyclé (PET), lui ne se recycle PAS. Il faudra automatiquement rajouter de la matière vierge pour pouvoir l'utiliser à nouveau. Donc c'est naze et c'est pour nous, une forme de #greenwashing que de venter les mérites du plastique recyclé. 😠

Et puis chez Refyld, nous sommes dans une démarche de ré-duc-tion, donc le recyclage n'est pour nous pas la meilleure option. Voir, pas une option du TOUT. 👊

Alors au final, après un peu de courage et de nombreuses réflexions... On a décidé, il y a plus de 6 mois, de se lancer dans un grand chantier. Concevoir la PREMIÈRE RECHARGE 100% BIODÉGRADABLE et donc zéro plastique. 😍

Pour cela nous travaillions avec un laboratoire français. 🇫🇷 On vous passe tous les détails techniques auxquels on doit faire face 😅 mais ce qu'il faut savoir c'est que oui, une recharge 100% biodégradable en papier C'EST POSSIBLE. Et cette recharge, si tout va bien, devrait voir le jour d'ici fin 2021. 🙏

En attendant l'arrivée de notre recharge, nous avons donc choisi l'option la plus saine du marché (avec du plastique recyclé), mais ce n'est plus pour très longtemps. On avance, on trouve des solutions et on se concentre sur l'avenir... Et sur notre super recharge qui verra bientôt le jour. #refyldisthenewrecycle",Photo,,,"11/19/2020 02:04:45 AM"," ",883,883,0,985,985,0,33,15,17,1,1,485,434,0,0,23,0,0,0,0,0,0,0,0,0,0,20,6,,21,6,,1,14,,,2,15,,,1,,1,
447103548968697_1348977938781249,https://www.facebook.com/refyld/posts/1348977938781249,"BOUM, LA CAMPAGNE EXPLOSE : REFYLD DÉPASSE LES 1000%... GO pour les 1500% 😍

Nous avons dépassé les 1000% 🥳

MERCI, MERCI, MERCI : vous n'imaginez pas à quel point nous sommes heureux.

Et si, on voyait beaucoup plus grand, genre 1500% ? 

D'ici vendredi soir, si nous atteignons les 1500%, on vous promets une surprise spéciale fêtes de noël ! 🎄

Alors partants·es ? 🎉

On compte sur vous. 🙏",Photo,,,"11/18/2020 12:26:24 AM"," ",1266,1266,0,1485,1485,0,65,39,57,1,1,564,522,0,0,46,0,0,0,0,0,0,0,0,0,0,28,4,1,30,4,1,8,32,,,8,49,,,1,,1,
447103548968697_1348292455516464,https://www.facebook.com/refyld/posts/1348292455516464,"😍 PARUTIONS PRESSE 😍

Aujourd'hui on parle de Refyld dans la presse : 

👉  Sur le média de Business O Féminin : https://bit.ly/3f8yfBv

👉  Sur le média de Frenchdoes : https://bit.ly/3lRfvJa

👉  Et sur WILLA by Paris Pionnières, notre incubateur : https://bit.ly/32UBUhp",Link,,,"11/17/2020 06:15:48 AM"," ",446,446,0,496,496,0,25,17,24,1,1,372,328,0,0,18,0,0,0,0,0,0,0,0,0,0,11,1,,14,1,,,8,11,,,13,11,,1,,1,
447103548968697_1347524642259912,https://www.facebook.com/refyld/posts/1347524642259912,"Dans le cadre de notre série &quot;Les Nouveaux Récits&quot; Aujourd’hui, on vous partage l'épisode 4.

On vous donne rendez-vous avec Mathilde Lagarrigue, photographe et co-fondatrice de la marque Les Petites Françaises.

Mathilde s’est mise à écrire dès la fin du premier confinement pour apprendre à mieux se connaître et tirer des leçons sur ce qu’elle vit. Elle nous partage donc ses astuces pour intégrer l’écriture à son quotidien. Elle évoque aussi la tendance du journaling. ✨⁠

Écrire pour se mettre face à soi-même, pour mieux appréhender le futur, voilà ce que Mathilde va vous partager dans cette vidéo. 💛",Video,,,"11/16/2020 09:48:47 AM"," ",285,285,0,348,348,0,14,11,19,0,0,185,166,0,0,12,0,0,0,0,100,107,0,0,10481,651945,3,,,3,,,,8,,4,,15,,4,,,,
447103548968697_1346507202361656,https://www.facebook.com/refyld/posts/1346507202361656,"Si vous cherchez des produits bons pour vous comme pour la planète... Le tout sans vous ruiner, vous savez où aller 🤗 Par ici 👉 fr.ulule.com/refyld/ 💛",Photo,,,"11/15/2020 08:32:34 AM"," ",597,597,0,669,669,0,27,16,23,0,0,445,401,0,0,14,0,0,0,0,0,0,0,0,0,0,9,3,2,9,3,2,,10,11,,,11,12,,,,,
447103548968697_1344318375913872,https://www.facebook.com/refyld/posts/1344318375913872,"Nous avons dépassé les 1500 préventes sur #Ulule... Franchement, c'est la fo-lie... C'est DINGUE et c'est grâce à VOUS alors MERCI du fond du coeur !⁠
⁠
Mais il nous reste 20 jours pour faire encore plus fort et démocratiser au maximum la consommation responsable !⁠
⁠
👉 Vous nous suivez ? ⁠
⁠
Nous mettons donc le cap sur les 2000 préventes 🔥 ⁠
⁠
Et pour ça, on va avoir besoin de vous pour avoir un réel impact. 🚀 ⁠
⁠
Embarquez avec vous toute votre famille, vos amis.es, vos collègues... Car pour chaque personne que vous parrainez, on vous offre un bon d'achat de 10€⁠.
⁠
Et plus vous parrainez, plus vous obtiendrez de bons d’achat à utiliser dès l’ouverture de notre site. 🤩⁠
⁠
Alors concrètement, il suffit de demander aux personnes que vous parrainez de laisser votre nom en commentaire, sur Ulule, une fois leur adhésion achetée !⁠
⁠
Pour prendre votre adhésion à VIE, en édition limitée sur Ulule, RDV ici 👉 fr.ulule.com/refyld/ 
⁠
On compte sur VOUS ! MERCI MERCI MERCI 💛",Photo,,,"11/13/2020 02:36:52 AM"," ",782,782,0,869,869,0,50,39,48,0,0,627,560,0,0,37,0,0,0,0,0,0,0,0,0,0,12,,5,12,1,7,4,23,15,,4,29,15,,,,,
447103548968697_1343615085984201,https://www.facebook.com/refyld/posts/1343615085984201,"Nous ne comptons pas nous arrêter aux produits de soin et d’hygiène. Nous sommes déjà en train de développer une gamme de produits ménagers. ✌️💚♻️ 🌱⁠
⁠
Parce que, comme on le dit depuis le début : &quot;construire un avenir meilleur ça commence chez soi.&quot; 🙏 ⁠
⁠
⁠Photo par @vicdht.photo ✨",Photo,,,"11/12/2020 07:00:17 AM"," ",512,512,0,555,555,0,7,0,0,0,0,375,343,0,0,6,0,0,0,0,0,0,0,0,0,0,7,1,,7,1,,,,,,,,,,,,,
447103548968697_1342735609405482,https://www.facebook.com/refyld/posts/1342735609405482,"Le deuxième épisode de notre série &quot;Les Nouveaux Récits&quot; est en ligne.

Aujourd'hui, c'est Stéphanie, la fondatrice de Cosm skin &amp; mind qui vous partage ses conseils bien-être, inspirés de l'ayurveda pour mieux appréhender l’hiver. 💛 

Elle évoque le processus de detox entre l’automne et l’hiver, les aliments et compléments à privilégier pour soutenir son système digestif, des astuces pour prendre soin de son visage, de son corps, mais aussi de son âme pour diminuer le stress… 🌱⁣⁣ 

En écoutant Stéphanie, vous allez pouvoir trouver tout ce dont vous avez besoin pour retrouver l’équilibre en cette période instable. ✨⁣⁣",Video,,,"11/11/2020 09:59:00 AM"," ",565,565,0,694,694,0,38,36,44,0,0,436,372,0,0,29,2,2,0,0,206,218,0,0,13415,787689,5,,1,5,,2,,31,1,8,,35,1,8,,,,
447103548968697_1342363002776076,https://www.facebook.com/refyld/posts/1342363002776076,"La presse parle de Refyld 💌

Après avoir découvert que, grâce à vous, nous avons dépassé très largement les 1000 préventes sur Ulule... 🎉  Ce matin nous avons découvert un chouette article dans le média de L'info Durable qui partage notre mission de &quot;démocratiser la consommation responsable&quot; et présente notre concept avec brio. 🙏

À lire ici 👉  https://bit.ly/2IhNLPL",Photo,,,"11/11/2020 02:50:22 AM"," ",380,380,0,418,418,0,16,9,11,0,0,206,183,0,0,13,0,0,0,0,0,0,0,0,0,0,10,1,1,10,1,1,3,2,6,,3,2,6,,,,,
447103548968697_1341284286217281,https://www.facebook.com/refyld/posts/1341284286217281,"Quand on veut commencer la journée du bon pied, on file lire les commentaires que vous nous laissez après avoir contribué sur #Ulule.... Et on peut vous dire que ça nous file la banane pour toute la journée 😍😃 ! ⁠⠀
⁠⠀
Ça nous touche tellement et surtout, ça nous boost pour travailler d'arrache-pied afin de vous proposer une VRAIE solution : responsable, accessible, innovante et solidaire pour mieux consommer sans se ruiner.⁠⠀
⁠⠀
On vous partage ici un petit échantillon de vos mots doux... Merci du fond du coeur 💛",Photo,,,"11/09/2020 11:28:56 PM"," ",425,425,0,469,469,0,15,10,11,0,0,256,223,0,0,11,0,0,0,0,0,0,0,0,0,0,6,,,6,,,9,2,,,9,2,,,,,,
447103548968697_1337788443233532,https://www.facebook.com/refyld/posts/1337788443233532,"Notre pari un peu fou : rendre accessible des produits qui ne nuisent ni à votre santé, ni à la planète, ni à votre porte-monnaie. 🌱
Nous souhaitons emmener ce projet très loin et avoir un réel impact, pour ça, nous avons besoin de  VOUS ! 🚀",Video,,,"11/09/2020 01:00:25 PM"," ",10018,2307,7668,18852,2629,16223,736,682,996,0,0,1744,468,1318,319,87,70,74,116,116,687,807,2276,2943,6690,141162,81,14,4,92,14,4,,466,277,112,,539,300,157,,,,
447103548968697_1340874682924908,https://www.facebook.com/refyld/posts/1340874682924908,"C'est l'effet que notre adhésion à vie peut procurer : un sentiment de satisfaction et d'apaisement total. 🙌⁠
⁠
Oui, car c'est quand même rassurant de savoir que, grâce à notre adhésion à vie, vous allez pouvoir accéder à des produits sains, durables, faits en France, rechargeables et vendus à prix coûtant TOUTE VOTRE VIE 😍⁠
⁠
Si ce n'est pas encore le cas, foncez nous soutenir sur @Ulule, vous verrez ça fait un bien fou : https://fr.ulule.com/refyld/🙏💛",Photo,,,"11/09/2020 11:20:49 AM"," ",612,612,0,672,672,0,30,17,20,0,0,406,365,0,0,23,0,0,0,0,0,0,0,0,0,0,12,1,1,13,1,1,2,5,11,,2,7,11,,,,,
447103548968697_1340324669646576,https://www.facebook.com/refyld/posts/1340324669646576,"Notre pari un peu fou 👉 vous proposer des produits qui ne nuisent ni à notre santé, ni à la planète, ni à notre porte-monnaie. 🌿⁠
⁠
Sans vous le projet n'existe pas, alors du fond du coeur, MERCI pour vos partages, commentaires et soutiens. 💛

Et on vous donne rendez-vous sur notre campagne Ulule 👉 fr.ulule.com/refyld/",Video,,,"11/09/2020 12:39:59 AM"," ",1212,1212,0,1490,1490,0,96,80,128,0,0,447,316,0,0,48,53,53,0,0,443,506,0,0,12779,141162,30,11,3,39,11,6,,62,17,14,,91,17,20,,,,
447103548968697_1339804906365219,https://www.facebook.com/refyld/posts/1339804906365219,"Dans le cadre de notre série &quot;Les Nouveaux Récits&quot;, Roxanne la fondatrice de YogAsana : le premier jeu de yoga illustré et détaillé, nous partage son concept et ainsi qu'un cour de yoga, imaginé avec ses cartes. 
Son idée avec YogAsana ? Nous aider à approfondir nos connaissances, maîtriser chaque posture et exprimer notre créativité en créant nos propres séquences. ✨🤸  Bonne séance !

PS : Roxanne a aussi lancé une campagne de crowdfunding pour pouvoir donner vie à son jeu de cartes et il ne reste plus que 4 jours pour la soutenir, alors RDV ici : https://bit.ly/3eFPHx5",Video,,,"11/08/2020 10:27:58 AM"," ",524,524,0,630,630,0,24,23,26,0,0,399,338,0,0,17,0,0,0,0,182,197,0,0,10743,2476384,2,1,,2,1,,,14,2,9,,15,2,9,,,,
447103548968697_1339417359737307,https://www.facebook.com/refyld/posts/1339417359737307,"Grâce à l'adhésion à vie, vous pourrez avoir accès à notre site et à tous nos produits à prix coûtant pour le reste de votre vie : ⁠⠀
⁠⠀
👉 Des produits pour soi et sa maison sains, naturels, fabriqués en France et rechargeables 🌿⁠⠀
👉 La possibilité d'automatiser vos achats en fonction de vos besoins
👉 Des contenus simples et complets 💡⁠⠀
👉 Une communauté solidaire et engagée 💛⁠⠀
⁠⠀
Et puis, l'adhésion permet à chacun d’avoir un impact positif dans son quotidien et pour la société. C’est une façon de démocratiser et de pérenniser l’engagement pour demain. 💪⁠⠀
⁠⠀
Vous nous rejoignez ? 👉 RDV sur ⁠fr.ulule.com/refyld",Photo,,,"11/08/2020 01:08:18 AM"," ",601,601,0,664,664,0,27,19,20,1,1,420,373,0,0,22,0,0,0,0,0,0,0,0,0,0,7,4,1,10,4,1,1,12,6,,1,13,6,,,1,,1
